OBJECTID,DIVISION_NUM,YEAR,DIVISION_SCORE,Shape__Area,Shape__Length
1781,5639,2018,1.68253968253968,3791444.75762939,12786.9524949608
1782,5010,2018,1.46198830409357,3252439.54962158,9145.28236138313
1783,6640,2018,1.35483870967742,2427154.64385986,6312.12629329864
1784,0906,2018,1.35802469135802,3891479.43548584,9787.45766985639
1785,5004,2018,1.41025641025641,1105493.46026611,4929.25564736511
1786,5022,2018,1.47967479674797,1040872.64465332,4720.37704806296
1787,5628,2018,1.40229885057471,1304936.92138672,5103.88274407498
1788,5626,2018,1.56190476190476,5794455.65844727,12975.8415902893
1789,5021,2018,1.63636363636364,3619584.73504639,9305.35442189782
1790,6619,2018,1.58024691358025,2804297.31591797,7715.67910143047
1791,6302,2018,1.33333333333333,7479709.37445068,11484.4988187988
1792,6310,2018,1.47517730496454,3108844.00946045,8758.21290306131
1793,5018,2018,1.40740740740741,839333.688415527,3687.61213608131
1794,6309,2018,1.5,3968147.25030518,8473.86183797134
1795,5705,2018,1.42857142857143,1822884.07641602,5996.13924623966
1796,0905,2018,1.33333333333333,3061031.77606201,8781.90715451078
1797,5619,2018,1.52888888888889,5491555.41687012,15272.8626717158
1798,5029,2018,1.38888888888889,913664.296203613,3936.61205699791
1799,6626,2018,1.45679012345679,6360496.16082764,13147.5952549061
1800,5629,2018,1.58974358974359,981628.722595215,5649.80749424479
1801,5003,2018,1.47368421052632,1303751.58526611,5107.43686951226
1802,5009,2018,1.53571428571429,3083134.34539795,9365.4803088879
1803,5625,2018,1.53846153846154,1379424.57550049,6845.40246336982
1804,0909,2018,1.3469387755102,3043092.98553467,7436.64628492473
1805,6304,2018,1.41818181818182,2859228.85552979,8517.55091328847
1806,5013,2018,1.63157894736842,996248.431762695,4436.16150252404
1807,0916,2018,1.42222222222222,1932459.65197754,5746.10348751911
1808,6628,2018,1.38888888888889,1021675.64715576,3939.19867204077
1809,6621,2018,1.65957446808511,2896355.67730713,7563.5739952585
1810,5002,2018,1.55038759689923,1179315.81970215,4587.21110084336
1811,5624,2018,1.45945945945946,1425946.66204834,5351.75340310765
1812,6119,2018,2.09333333333333,2734422.04284668,6850.18812569651
1813,1712,2018,1.88235294117647,892375.245605469,4271.04674909464
1814,5323,2018,1.85858585858586,1388712.62017822,5018.6858995348
1815,5012,2018,1.45555555555556,1624948.87835693,6806.11737386036
1816,5020,2018,1.73333333333333,1254043.40814209,5315.37846067739
1817,0910,2018,1.35714285714286,20809878.9654541,21689.7035809583
1818,5704,2018,1.33333333333333,1517295.09320068,5033.01711187953
1819,6308,2018,1.33333333333333,2239643.15325928,7731.14030073775
1820,5707,2018,1.62962962962963,1029221.48522949,5209.74699401713
1821,5007,2018,1.61904761904762,1652375.14532471,6276.82685363189
1822,5623,2018,1.53333333333333,1937424.70959473,6893.81456267043
